"(?<!\S)USA,",Aachen,Rotterdam,Leeds,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
(?<!\S)NYC(?!\S),Augsburg,Rotterdam,West Yorkshire,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
"(?<!\S)NYC,",Hemer,Rotterdam,Darlington,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
(?<!\S)USA.,Iserlohn,Rotterdam,South Molton,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Indiana,Bad Fallingbostel,Rotterdam,Devon,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Deerfield Beach,Hannover,Rotterdam,Sussex,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Owosso,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Michigan,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Wisconsin,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Mukwonago,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Canyon Lake,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
New England,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
New Hampshire,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Rocklin,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
(?<!\S)U.S.A.(?!\S),Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
(?<!\S)U.S.(?!\S),Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Cin City,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
(?<!\S)NY.(?!\S),Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
"Hamburg, PA",Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
"Oaks, PA",Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
Lewis & Clark College,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
MASSACHUSETTS,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
	MID ATLANTIC REPTILE EXPO,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
OAKS REPTILE EXPO,Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
(?<!\S)US -(?!\S),Leipzig,Rotterdam,London,Austria,Belgium,Espana,Lille,Richmond Hill,(?<!\S)Bern(?!\S),Athens,Warsaw,Neyagawa city,Prague
